epoch,accuracy,auc,binary_accuracy,binary_crossentropy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_binary_accuracy,val_binary_crossentropy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.0,0.9362292885780334,0.8619385361671448,0.3392806053161621,707.0,461.0,2.9968509674072266,0.7591431736946106,0.6726852059364319,5839.0,1453.0,0.0,0.9744172096252441,0.8968085050582886,0.26814770698547363,263.0,610.0,0.696574866771698,0.8036691546440125,0.9047101736068726,5090.0,2497.0
1,0.0,0.9909737706184387,0.9650118350982666,0.17257234454154968,45.0,251.0,0.30689379572868347,0.8939138054847717,0.9791666865348816,6049.0,2115.0,0.0,0.9621152281761169,0.8923167586326599,0.3086463212966919,328.0,583.0,0.346757173538208,0.806633472442627,0.8811594247817993,5117.0,2432.0
2,0.0,0.9924675226211548,0.9717494249343872,0.12949053943157196,40.0,199.0,0.147809237241745,0.9141871333122253,0.9814814925193787,6101.0,2120.0,0.0,0.9141702055931091,0.8777777552604675,0.353931188583374,415.0,619.0,0.3803941607475281,0.7911605834960938,0.8496376872062683,5081.0,2345.0
