epoch,accuracy,auc,binary_accuracy,binary_crossentropy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_binary_accuracy,val_binary_crossentropy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.0,0.9532453417778015,0.8391252756118774,0.3734852075576782,1018.0,343.0,3.009460687637329,0.825445294380188,0.614393949508667,5477.0,1622.0,0.0,0.9510295391082764,0.8713948130607605,0.34646135568618774,192.0,896.0,0.7349072098731995,0.7113401889801025,0.9200000166893005,5164.0,2208.0
1,0.0,0.9893783330917358,0.9682033061981201,0.19726379215717316,74.0,195.0,0.3105274736881256,0.9293734431266785,0.971969723701477,5625.0,2566.0,0.0,0.9681882858276367,0.8988179564476013,0.30947980284690857,125.0,731.0,0.33605101704597473,0.7568196654319763,0.9479166865348816,5329.0,2275.0
2,0.0,0.9933111667633057,0.9735224843025208,0.13469712436199188,31.0,193.0,0.14441347122192383,0.9311206340789795,0.9882575869560242,5627.0,2609.0,0.0,0.9744731187820435,0.9273049831390381,0.23552480340003967,124.0,491.0,0.25580838322639465,0.8225514888763428,0.9483333230018616,5569.0,2276.0
