epoch,accuracy,auc,binary_accuracy,binary_crossentropy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_binary_accuracy,val_binary_crossentropy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.0,0.8722275495529175,0.845862865447998,0.4423961937427521,1215.0,89.0,2.9750828742980957,0.930141270160675,0.4937500059604645,5971.0,1185.0,0.0,0.9250973463058472,0.8600472807884216,0.40315261483192444,514.0,670.0,0.7797905802726746,0.7496262788772583,0.7960317730903625,5270.0,2006.0
1,0.0,0.987223744392395,0.9695035219192505,0.22400014102458954,81.0,177.0,0.34007224440574646,0.9290865659713745,0.9662500023841858,5883.0,2319.0,0.0,0.9551771879196167,0.8817967176437378,0.31692805886268616,400.0,600.0,0.3470260202884674,0.779411792755127,0.841269850730896,5340.0,2120.0
2,0.0,0.9918736219406128,0.9719858169555664,0.14242392778396606,54.0,183.0,0.1592366248369217,0.927639365196228,0.9775000214576721,5877.0,2346.0,0.0,0.9651075601577759,0.9070922136306763,0.2633190453052521,383.0,403.0,0.28570911288261414,0.841338574886322,0.8480158448219299,5537.0,2137.0
