epoch,accuracy,auc,binary_accuracy,binary_crossentropy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_binary_accuracy,val_binary_crossentropy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.0,0.9484612345695496,0.8986997604370117,0.3627222776412964,685.0,172.0,2.7626590728759766,0.927334189414978,0.7621527910232544,5408.0,2195.0,0.0,0.9399800300598145,0.8592198491096497,0.3480967879295349,587.0,604.0,0.7001839280128479,0.7915084362030029,0.7961805462837219,4976.0,2293.0
1,0.0,0.9860745668411255,0.9687943458557129,0.1753823161125183,85.0,179.0,0.28024423122406006,0.9398117065429688,0.9704861044883728,5401.0,2795.0,0.0,0.915889322757721,0.8627659678459167,0.4037327468395233,526.0,635.0,0.4347723126411438,0.7875543832778931,0.8173611164093018,4945.0,2354.0
2,0.0,0.9923444390296936,0.9730496406555176,0.1211889386177063,43.0,185.0,0.13608328998088837,0.938782274723053,0.9850694537162781,5395.0,2837.0,0.0,0.9032315611839294,0.875413715839386,0.3491135537624359,361.0,693.0,0.37169939279556274,0.784246563911438,0.8746528029441833,4887.0,2519.0
