epoch,accuracy,auc,binary_accuracy,binary_crossentropy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_binary_accuracy,val_binary_crossentropy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.0,0.8584685921669006,0.8275413513183594,0.4622676968574524,1336.0,123.0,2.951709270477295,0.9058913588523865,0.46984127163887024,5817.0,1184.0,0.0,0.9478361010551453,0.8718675971031189,0.3575901389122009,515.0,569.0,0.7242392897605896,0.8060668110847473,0.8211805820465088,5011.0,2365.0
1,0.0,0.9849663376808167,0.9678487181663513,0.20616205036640167,76.0,196.0,0.3223199248313904,0.9257575869560242,0.9698412418365479,5744.0,2444.0,0.0,0.8975048661231995,0.8650118112564087,0.3702090382575989,480.0,662.0,0.4019971191883087,0.7838014364242554,0.8333333134651184,4918.0,2400.0
2,0.0,0.9917895197868347,0.9723404049873352,0.13865706324577332,46.0,188.0,0.15500861406326294,0.9293764233589172,0.9817460179328918,5752.0,2474.0,0.0,0.8773846626281738,0.8705673813819885,0.36499133706092834,634.0,461.0,0.3878629505634308,0.829700767993927,0.7798610925674438,5119.0,2246.0
