epoch,accuracy,auc,binary_accuracy,binary_crossentropy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_binary_accuracy,val_binary_crossentropy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.0,0.8564485311508179,0.8068557977676392,0.5108376741409302,1384.0,250.0,3.1187167167663574,0.8568155765533447,0.519444465637207,5330.0,1496.0,0.0,0.9347889423370361,0.883451521396637,0.40247994661331177,462.0,524.0,0.8103313446044922,0.806069552898407,0.824999988079071,5296.0,2178.0
1,0.0,0.9756087064743042,0.9529550671577454,0.263984352350235,82.0,316.0,0.379928857088089,0.8985227942466736,0.9715277552604675,5264.0,2798.0,0.0,0.9458521604537964,0.8797872066497803,0.3623999059200287,275.0,742.0,0.3947563171386719,0.7611843943595886,0.8958333134651184,5078.0,2365.0
2,0.0,0.9904606938362122,0.9724586009979248,0.15423105657100677,41.0,192.0,0.16724377870559692,0.9366545677185059,0.9857639074325562,5388.0,2839.0,0.0,0.9019994735717773,0.901063859462738,0.3059726059436798,459.0,378.0,0.32768213748931885,0.8522860407829285,0.8261363506317139,5442.0,2181.0
